	(1)	(2)	(3)	(4)
VARIABLES	resgap2	resgap4	resgap2	resgap4
				
relshs	-0.0297***		-0.0368***	
	(0.00583)		(0.00700)	
ires80	-0.160	-0.224*	-0.170	-0.249**
	(0.149)	(0.127)	(0.143)	(0.122)
nres80	0.135	0.309**	0.142	0.339**
	(0.173)	(0.144)	(0.166)	(0.140)
logsize80	-0.0946***	-0.0403	-0.105***	-0.0582*
	(0.0317)	(0.0303)	(0.0307)	(0.0329)
logsize90	0.101***	0.0307	0.115***	0.0537
	(0.0310)	(0.0309)	(0.0312)	(0.0356)
coll80	0.0991	-0.0551	0.123	-0.00173
	(0.469)	(0.427)	(0.462)	(0.422)
coll90	-0.00660	-0.0216	-0.0154	-0.0459
	(0.366)	(0.308)	(0.357)	(0.304)
mfg80	-0.225	-0.373	-0.262	-0.377
	(0.299)	(0.252)	(0.287)	(0.245)
mfg90	0.193	0.499	0.231	0.483*
	(0.369)	(0.302)	(0.357)	(0.284)
relscoll		-0.0576***		-0.0783***
		(0.00810)		(0.0127)
Constant	-0.128**	-0.0608	-0.162**	-0.141*
	(0.0596)	(0.0526)	(0.0670)	(0.0752)
				
Observations	124	124	124	124
R-squared	0.210	0.386	0.201	0.354
F			46.62	33.22
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
