	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	shric1	shric1	shric1	shric1	shric1	shric1	hsiv	colliv
								
logsize80	0.0541	0.0541	0.0541	0.0541	0.0541	0.0541	592,138***	234,314***
	(0.0474)	(0.0474)	(0.0474)	(0.0474)	(0.0474)	(0.0474)	(205,888)	(84,880)
coll80	-0.545	-0.545	-0.545	-0.545	-0.545	-0.545	-212,512	1.567e+06
	(0.344)	(0.344)	(0.344)	(0.344)	(0.344)	(0.344)	(2.430e+06)	(1.068e+06)
nres80	0.601	0.601	0.601	0.601	0.601	0.601	2.674e+06	406,447
	(0.397)	(0.397)	(0.397)	(0.397)	(0.397)	(0.397)	(1.954e+06)	(662,140)
ires80	-0.652	-0.652	-0.652	-0.652	-0.652	-0.652	-3.850e+06	-609,243
	(0.538)	(0.538)	(0.538)	(0.538)	(0.538)	(0.538)	(2.564e+06)	(732,597)
mfg80	0.0589	0.0589	0.0589	0.0589	0.0589	0.0589	-55,774	-95,388
	(0.247)	(0.247)	(0.247)	(0.247)	(0.247)	(0.247)	(1.238e+06)	(431,079)
Constant	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-3.229e+06**	-1.465e+06***
	(0.322)	(0.322)	(0.322)	(0.322)	(0.322)	(0.322)	(1.435e+06)	(526,931)
								
Observations	124	124	124	124	124	124	124	124
R-squared	0.150	0.150	0.150	0.150	0.150	0.150	0.371	0.430
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
